82,43,43,41,41,41,43,41,41,43,41,43,43,42,41,42,41,43,43,41,43,43,43,41,41,41,41,43,43,81
44,121,122,123,124,121,122,123,124,121,122,123,121,122,123,124,121,122,121,122,123,124,123,124,121,122,123,121,122,36
44,151,152,153,154,151,152,153,154,151,152,153,151,152,153,154,151,152,151,152,153,154,153,154,151,152,153,151,152,37
44,236,218,218,218,218,218,218,218,220,220,218,218,218,218,220,219,218,218,219,219,219,220,220,220,220,220,220,237,35
44,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,225,37
44,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,225,36
44,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,225,35
44,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,225,35
44,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,226,36
44,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,225,35
44,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,225,35
44,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,226,35
44,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,225,36
44,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,225,37
44,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,226,35
44,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,226,36
80,40,38,40,38,38,40,39,38,38,39,38,39,39,38,38,40,39,40,39,39,40,38,38,40,38,40,38,40,79
